videoid,fps,n_frames,video_duration_sec,audio_duration_sec
138,29.97002997002997,5583,186.2861,186.286125
138-30-1280x720,30.0,3331,111.03333333333333,111.0383125
139,29.97002997002997,8165,272.4388333333333,272.438875
139-14-720x480,30.0,10013,333.76666666666665,334.181625
140,29.97002997002997,4582,152.88606666666666,152.8860625
140-30-632x360,30.0,6754,225.13333333333333,225.0026875
141,29.97002997002997,4405,146.98016666666666,146.9801875
143,29.97002997002997,10102,337.07006666666666,337.0700625
144,29.97002997002997,15605,520.6868333333333,520.6868125
146,15.916666666666666,4850,304.71204188481676,304.7120625
147,29.97002997002997,19694,657.1231333333334,657.123125
148,29.97002997002997,18144,605.4048,605.4048125
149,29.97002997002997,15658,522.4552666666667,522.45525
15-24-1920x1080,30.0,3592,119.73333333333333,119.7653125
150,29.97002997002997,13015,434.2671666666667,434.2671875
151,22.0,964,43.81818181818182,43.8181875
153,29.97,3677,122.68935602268937,122.689375
154,29.97002997002997,3362,112.17873333333334,112.17875
155,25.0,3113,124.52,124.52
156,30.0,4925,164.16666666666666,164.1666875
157,24.026696329254726,2604,108.37944444444445,108.3794375
158,29.97002997002997,3031,101.13436666666666,101.134375
159,14.60983606557377,3458,236.68985637342908,236.689875
160,29.917,837,27.977404151485775,27.9774375
161,13.75,1728,125.67272727272727,125.67275
162,30.0,7934,264.46666666666664,264.4666875
163,30.0,3937,131.23333333333332,131.233375
164,29.97002997002997,7043,235.00143333333332,235.0014375
165,30.0,4567,152.23333333333332,152.233375
17-24-1920x1080,30.0,5787,192.9,192.9173125
18-24-1920x1080,30.0,4830,161.0,161.0026875
19-24-1920x1080,30.0,6633,221.1,221.0075625
198,23.976023976023978,2284,95.26183333333333,95.261875
2-30-640x360,30.0,19352,645.0666666666667,645.027125
20-24-1920x1080,30.0,5274,175.8,175.808
207,21.905115327524015,3038,138.68906666666666,138.6928125
21-24-1920x1080,30.0,5230,174.33333333333334,174.3573125
22-30-1920x1080,30.0,5335,177.83333333333334,177.856
225,30.0,1462,48.733333333333334,48.7386875
23-24-1920x1080,30.0,5411,180.36666666666667,180.3946875
24-30-1920x1080-1,30.0,1912,63.733333333333334,63.744
24-30-1920x1080-2,30.0,4172,139.06666666666666,139.0933125
25-25-600x480,30.0,5743,191.43333333333334,191.495
26-60-1280x720,30.0,2065,68.83333333333333,68.7573125
27-60-1280x720,30.0,2932,97.73333333333333,97.6853125
28-30-1280x720-1,30.0,262,8.733333333333333,8.7466875
28-30-1280x720-2,30.0,396,13.2,13.2266875
28-30-1280x720-3,30.0,276,9.2,9.216
28-30-1280x720-4,30.0,276,9.2,9.216
282,29.97002997002997,3614,120.58713333333334,120.6044375
29-24-1280x720,30.0,3683,122.76666666666667,122.7946875
3-25-1920x1080,30.0,6188,206.26666666666668,206.2933125
31-30-1920x1080,30.0,4722,157.4,157.3973125
32-60-1920x1080,30.0,4459,148.63333333333333,148.5653125
325,22.720808603161544,3222,141.80833333333334,141.7810625
326,24.227015921931176,4717,194.7,194.676125
327,28.034086102958486,4156,148.2481,148.213
328,28.478488982161593,2714,95.30000000000001,95.2715
329,29.375134405005287,5086,173.13963333333334,173.10475
33-30-1920x1080,30.0,10806,360.2,360.257625
330,25.396590066716087,4568,179.86666666666667,179.8385625
331,23.20615164651862,2954,127.29383333333332,127.2685625
332,29.97,4665,155.65565565565566,155.6665625
334,24.83251934605263,3398,136.8367,136.8351875
335,29.43132361946023,3278,111.37793333333333,111.3396875
336,28.41331518764954,4344,152.88606666666666,152.857
337,22.340764331210192,2806,125.6,125.59675
339,25.674344150393715,4632,180.41356666666667,180.372625
34-25-1920x1080,30.0,7757,258.56666666666666,258.5774375
341,23.55603269540817,3096,131.4313,131.4249375
344,30.0,4263,142.1,142.106125
345,21.905129482304414,2344,107.00689999999999,106.9975625
346,28.365719980069755,5693,200.7,200.666875
347,22.772585669781932,2924,128.4,128.3599375
348,24.262939506442454,4444,183.16,183.1358125
349,24.569969969363296,4054,164.99816666666666,164.9545625
35-30-1920x1080,30.0,20807,693.5666666666667,693.5800625
350,29.10342669378814,2015,69.23583333333333,69.1955
353,21.123989534650935,2856,135.20173333333335,135.163375
354,24.957,5389,215.9314020114597,215.9455625
355,21.756336149399733,1631,74.96666666666667,74.9308125
357,21.92266976497131,1373,62.62923333333333,62.62425
358,30.0,324,10.8,10.8205
359,22.95026748563503,3861,168.23333333333332,168.205375
36-24-1280x720,30.0,5260,175.33333333333334,175.4035625
360,25.0,3509,140.36,140.364625
361,29.97002997002997,4602,153.5534,153.5535625
362,29.97002997002997,4912,163.89706666666666,163.9096875
363,30.0,3240,108.0,108.01925
364,22.11017325633052,3318,150.06666666666666,150.024125
365,7.666666666666667,1067,139.17391304347825,139.1804375
367,30.0,4169,138.96666666666667,138.9714375
368,20.130584192439862,2929,145.5,145.473
369,30.0,4438,147.93333333333334,147.9343125
37-30-1280x720,30.0,2706,90.2,90.23275
370,24.36950146627566,1939,79.56666666666666,79.528375
371,20.54380664652568,680,33.1,33.06525
372,13.498655753355806,2042,151.27432222222222,151.30125
373,21.119500130174433,2704,128.03333333333333,127.988375
374,7.5,1212,161.6,161.610875
375,22.561037639877924,2957,131.06666666666666,131.076625
376,20.476190476190474,3569,174.3,174.26575
377,20.08499381529154,3444,171.47129999999999,171.479375
378,29.97002997002997,3480,116.116,116.123
38-30-1920x1080,30.0,2431,81.03333333333333,81.1305625
380,20.604395604395606,2375,115.26666666666667,115.240625
381,20.969075172614996,1265,60.32693333333333,60.30225
382,20.573811931243682,2713,131.86666666666665,131.8429375
383,16.500881360701758,2554,154.7796111111111,154.78425
384,21.32001647446458,3451,161.86666666666667,161.843125
385,20.08349677793497,2976,148.18136666666666,148.18975
386,20.455607476635514,1751,85.6,85.5655625
387,20.083507652568425,2911,144.94480000000001,144.91575
388,27.735451728329537,4158,149.91643333333334,149.8848125
389,25.65641799012712,4556,177.5774,177.5398125
39-25-424x240,30.0,4590,153.0,153.0659375
391,22.2831743894205,3583,160.79396666666668,160.75175
392,30.0,3550,118.33333333333333,118.352125
393,29.094128620194972,4916,168.9688,168.9251875
394,29.061470091370424,2335,80.34693333333333,80.3178125
395,29.97002997002997,5153,171.93843333333334,171.94375
398,27.004417853370445,3269,121.05426666666666,121.0224375
399,29.086090314389736,5199,178.74523333333332,178.7008125
4-30-1920x1080,30.0,8260,275.3333333333333,275.3493125
400,23.26400444600974,2640,113.48003333333332,113.4526875
402,28.518931036684425,4422,155.0549,155.0164375
403,20.10213556174559,2165,107.69999999999999,107.6941875
406,30.0,3066,102.2,102.21425
407,27.1415027257644,3817,140.63333333333333,140.5968125
408,29.97002997002997,2978,99.36593333333333,99.3814375
409,22.774192951109548,3608,158.42493333333334,158.42975
41-24-1280x720,30.0,6160,205.33333333333334,205.3333125
412,10.0,1473,147.3,147.307375
415,21.58364312267658,2903,134.5,134.46675
416,22.526813516318764,6511,289.0333333333333,288.9955625
418,29.97002997002997,2906,96.96353333333333,96.9665625
419,29.97002997002997,6963,232.3321,232.338875
42-30-480x480,30.0,1394,46.46666666666667,46.486375
420,25.772753045480318,3150,122.2221,122.1834375
421,24.368344206400888,3615,148.3482,148.305875
423,29.97002997002997,5265,175.6755,175.6821875
424,27.307455329636475,4432,162.3,162.2610625
425,29.97002997002997,5070,169.169,169.180625
426,28.699763365511124,2779,96.83006666666667,96.804
427,20.829545454545453,1222,58.66666666666667,58.630375
428,30.0,3229,107.63333333333334,107.64775
429,20.817088345085025,1673,80.36666666666667,80.3410625
430,24.026200873362445,1834,76.33333333333333,76.3008125
433,20.348271766041144,4310,211.81159999999997,211.766
434,24.125422686750692,5232,216.86666666666667,216.8279375
435,21.243750796640654,1950,91.7917,91.76525
439,25.752356355483684,2308,89.62286666666667,89.582625
440,21.479713603818617,2520,117.32,117.284
441,30.0,2701,90.03333333333333,90.047
446,17.0,2248,132.23529411764707,132.237625
447,28.424989581229678,3993,140.47498552600211,140.48075
448,24.529897718332023,4157,169.46666666666667,169.436
449,25.995982039938085,3552,136.63649999999998,136.603
45-24-1280x720,30.0,6081,202.7,202.7093125
450,29.97002997002997,9907,330.56356666666665,330.5825
46-30-484x360,30.0,2944,98.13333333333334,98.0114375
47-30-654x480,30.0,4033,134.43333333333334,134.49
5-60-1920x1080-1,30.0,6153,205.1,205.009
5-60-1920x1080-2,30.0,6213,207.1,207.029125
5-60-1920x1080-3,30.0,6333,211.1,211.0229375
5-60-1920x1080-4,30.0,4892,163.06666666666666,163.0273125
50-30-1920x1080,30.0,2699,89.96666666666667,90.02375
51-30-1280x720,30.0,2499,83.3,83.328
53-30-360x480,30.0,1052,35.06666666666667,35.0161875
54-30-1080x1920,30.0,6445,214.83333333333334,215.132875
56-30-1080x1920,30.0,4300,143.33333333333334,143.5225625
57-25-426x240,30.0,300,10.0,10.05425
58-30-640x480,30.0,2876,95.86666666666666,95.8984375
59-30-1280x720,30.0,7741,258.03333333333336,258.0266875
6-30-1920x1080,30.0,7985,266.1666666666667,266.176
60-30-1920x1080,30.0,4564,152.13333333333333,152.1835625
61-24-1920x1080,30.0,9156,305.2,305.2373125
62-30-654x480,30.0,12033,401.1,401.031875
63-30-1920x1080,30.0,2412,80.4,80.4266875
64-24-640x360,30.0,4918,163.93333333333334,163.9793125
65-30-400x228,30.0,6667,222.23333333333332,222.307875
66-25-1080x1920,30.0,2913,97.1,97.1755
67-24-640x360,30.0,3461,115.36666666666666,115.426375
68-24-1920x1080,30.0,7189,239.63333333333333,239.6586875
69-25-854x480,30.0,18781,626.0333333333333,626.01
7-60-1920x1080,30.0,23148,771.6,771.5413125
70-30-720x1280,30.0,2783,92.76666666666667,92.7869375
71-30-1920x1080,30.0,8001,266.7,266.936625
72-30-1280x720,30.0,7571,252.36666666666667,252.4009375
74-25-1920x1080,30.0,5041,168.03333333333333,168.019625
75-30-960x720,30.0,1953,65.1,65.015875
76-30-640x280,30.0,1773,59.1,59.0019375
77-30-1280x720,30.0,5672,189.06666666666666,189.0336875
78-30-960x720,30.0,4442,148.06666666666666,148.004
8-30-1280x720,30.0,9113,303.76666666666665,303.7866875
80-30-320x240,30.0,5673,189.1,189.14975
81-30-576x360,30.0,3603,120.1,120.16325
82-25-854x480,30.0,5402,180.06666666666666,180.0243125
84-30-1920x1080,30.0,2583,86.1,86.00675
85-24-1280x720,30.0,2664,88.8,88.886
86-24-1920x1080,30.0,4995,166.5,161.5644375
87-25-1920x1080,30.0,1802,60.06666666666667,60.0235625
88-30-360x480,30.0,3722,124.06666666666666,124.0178125
89-30-1080x1920,30.0,630,21.0,21.0140625
9-15-1920x1080,30.0,47434,1581.1333333333334,1581.0003125
90-30-1080x1920,30.0,7413,247.1,247.31575
91-30-1920x1080,30.0,10921,364.03333333333336,364.01925
93-24-640x360,30.0,2581,86.03333333333333,86.00675
94-30-1920x1080,30.0,2101,70.03333333333333,70.031375
95-24-1920x1080,30.0,2883,96.1,96.0145
96-30-1280x720,30.0,5603,186.76666666666668,186.7813125
97-29-1920x1080,30.0,3366,112.2,112.2685
98-30-360x360,30.0,6645,221.5,221.61125
99-30-720x720,30.0,1800,60.0,60.0468125
video1,30.0,14587,486.23333333333335,486.2729375
video2,30.0,2064,68.8,68.824625
video24,30.0,5204,173.46666666666667,173.5001875
video3,30.0,7801,260.03333333333336,260.0409375
video34,30.0,10281,342.7,342.7271875
video4,30.0,1550,51.666666666666664,51.6883125
video45_3,30.0,294,9.8,9.8226875
video45_5,30.0,414,13.8,13.83975
video45_6,30.0,308,10.266666666666667,10.287125
video45_7,30.0,179,5.966666666666667,5.9914375
video47,30.0,820,27.333333333333332,27.35375
video48,30.0,2542,84.73333333333333,84.7535
video49,29.97002997002997,6121,204.23736666666667,204.24375
video58,29.97002997002997,303,10.110100000000001,10.148125
video6,30.0,5324,177.46666666666667,177.494
video61,30.0,116,3.8666666666666667,3.901625
video63,29.97002997002997,274,9.142466666666667,9.172875
video66,30.0,154,5.133333333333334,5.1555
video67,30.0,1849,61.63333333333333,61.649625
video7,30.0,3377,112.56666666666666,112.571
video72,30.0,128,4.266666666666667,4.2840625
video73,30.0,5951,198.36666666666667,198.3913125
video79,30.0,4097,136.56666666666666,136.5565625
video8,30.0,5367,178.9,178.933625
video93,29.97002997002997,443,14.781433333333334,14.8608125
video94,30.0,696,23.2,23.19675
